Date,Open,High,Low,Close,Adj Close,Volume
2011-06-06,202.507904,202.695877,200.054214,201.755966,192.064911,10366693
2011-06-13,201.043610,201.587769,192.772324,194.108002,184.784302,60243460
2011-06-20,194.216827,194.701630,183.145584,191.238770,182.052902,65536553
2011-06-27,189.368835,200.400497,188.033157,196.828812,187.374435,57384987
2011-07-04,199.658463,212.579865,198.570129,208.562958,198.544952,57668418
2011-07-11,208.562958,214.004593,198.866959,204.417419,194.598541,44248743
2011-07-18,204.803284,207.068985,190.506622,197.274033,187.798279,51424942
2011-07-25,196.690292,200.469757,186.004913,187.607712,182.186874,40548940
2011-08-01,188.973068,191.337708,172.153488,176.031876,170.945496,54139643
2011-08-08,172.361252,172.549240,155.145905,158.302048,153.727966,102959360
2011-08-15,158.302048,162.239822,138.939728,140.958084,136.885147,65428608
2011-08-22,141.571503,147.794754,137.247879,138.217484,134.223740,91730483
2011-08-29,140.888824,151.039948,140.493073,149.348099,145.032730,54008546
2011-09-05,148.012421,156.916916,146.686646,151.356552,146.983170,67954710
2011-09-12,144.401154,161.764908,136.090302,160.132416,155.505463,86181900
2011-09-19,158.302048,165.128830,144.450623,145.291595,141.093445,75772300
2011-09-26,145.934708,161.171280,140.740417,154.393967,149.932816,66298192
2011-10-03,152.365723,158.648331,143.213882,157.461075,152.911301,50599769
2011-10-10,157.312668,187.983688,157.213730,178.139282,172.992035,104848748
2011-10-17,181.057968,189.170959,175.270050,176.259445,171.166489,78089584
2011-10-24,180.711685,205.792664,180.711685,204.605408,198.693420,52012436
2011-10-31,203.319199,203.319199,183.432495,186.103851,180.726456,97596348
2011-11-07,186.103851,189.912994,178.584503,179.524414,174.337128,45132339
2011-11-14,182.096832,183.531448,165.178299,168.492752,163.624222,80886820
2011-11-21,167.453888,177.891937,158.450455,170.026291,165.113434,91600805
2011-11-28,172.648178,190.704498,167.750702,189.863525,184.377502,76699360
2011-12-05,188.824661,193.672668,178.188751,181.057968,175.826370,51416102
2011-12-12,185.064987,185.807037,165.722458,170.570465,165.641907,78006589
2011-12-19,170.174713,185.361816,167.453888,182.987274,177.699921,79924156
2011-12-26,184.026138,186.648010,174.923767,176.803604,171.694931,41788378
2012-01-02,179.029724,203.566544,176.902542,201.439362,195.618851,83990745
2012-01-09,199.707932,210.937485,196.096664,206.584183,200.615005,70542211
2012-01-16,203.813889,219.050461,201.785645,216.774872,210.511246,95523429
2012-01-23,218.555771,238.838226,214.202469,237.304672,230.447845,72197503
2012-01-30,235.672180,250.018311,228.944336,245.021896,237.942078,82753768
2012-02-06,247.841644,259.120667,242.944183,254.618958,247.261841,67534245
2012-02-13,254.569489,289.593811,251.057159,271.042786,263.211121,109926559
2012-02-20,271.042786,273.071045,260.406860,262.632996,255.044327,64846409
2012-02-27,265.057007,275.841339,252.640182,264.809662,257.158081,63004655
2012-03-05,264.166534,278.957886,259.615356,277.671692,269.648468,46264722
2012-03-12,279.996765,294.689178,274.109894,283.657501,275.461334,58397709
2012-03-19,284.498474,289.395935,261.297333,269.806061,262.010132,78032179
2012-03-26,269.806061,273.664673,262.979279,272.329010,264.460175,45803541
2012-04-02,276.929657,279.007355,272.378479,275.593964,267.630798,21151201
2012-04-09,274.060425,291.473663,270.795441,286.229889,277.959351,35699127
2012-04-16,286.675110,317.346130,283.805908,313.289642,304.237274,68338962
2012-04-23,313.141235,316.505157,304.434631,309.332092,300.394043,35354180
2012-04-30,306.710236,314.130646,292.166229,298.597260,289.969421,36862374
2012-05-07,294.738647,306.710236,284.053253,294.342865,285.837921,50141203
2012-05-14,295.826965,297.459442,253.283279,257.141907,249.711899,66178370
2012-05-21,257.438721,268.915619,254.173737,266.194794,258.503204,38529418
2012-05-28,267.827271,280.095703,220.188263,222.167038,215.747604,123756760
2012-06-04,218.011612,237.403610,214.944504,236.661575,229.823334,85433943
2012-06-11,238.442459,241.410629,223.205887,237.749893,230.880203,62392395
2012-06-18,240.421234,248.534225,231.764099,244.477737,237.413651,66566075
2012-06-25,245.763931,249.226791,230.280014,239.877075,232.945938,53860775
2012-07-02,237.205734,241.113815,232.060913,238.096176,231.216476,53186723
2012-07-09,235.672180,245.763931,231.764099,233.446060,226.700729,49520220
2012-07-16,234.979614,235.771118,216.082306,221.029236,214.642700,43272929
2012-07-23,218.555771,218.654709,200.895203,210.591202,208.192703,46353646
2012-07-30,214.103531,227.262390,213.064667,218.605240,216.115463,43954527
2012-08-06,224.096344,243.389404,223.700592,229.488510,226.874786,75876068
2012-08-13,228.647522,240.718063,221.326050,237.650955,234.944260,42600994
2012-08-20,237.650955,247.248016,237.650955,243.438873,240.666260,38018528
2012-08-27,243.290466,244.081970,227.361328,231.813568,229.173355,36078130
2012-09-03,233.693405,241.559036,222.661728,240.718063,237.976456,43920006
2012-09-10,242.597900,269.113495,240.025482,267.431519,264.385620,56236235
2012-09-17,273.367859,286.229889,264.908600,272.526886,269.422974,61205216
2012-09-24,271.883789,276.929657,255.855698,264.710724,261.695831,47348571
2012-10-01,265.155945,279.502075,217.121155,277.572754,274.411377,43697426
2012-10-08,278.463196,280.689331,262.385651,268.371460,265.314880,38605492
2012-10-15,267.777802,270.498627,258.230225,266.145325,263.114075,32753159
2012-10-22,264.661255,265.848511,256.350372,258.724915,255.778214,18910680
2012-10-29,259.318542,269.113495,242.400024,267.184174,264.141113,45396867
2012-11-05,267.134705,282.470215,262.286713,277.622223,274.460266,59283113
2012-11-12,275.989746,280.887207,260.208984,262.187775,259.201599,28774269
2012-11-19,262.435120,267.480988,253.283279,257.735535,254.800095,35144310
2012-11-26,259.219604,280.986145,258.972260,270.548096,267.466736,108258007
2012-12-03,270.102875,284.449005,266.442139,278.908417,275.731812,50839239
2012-12-10,280.343048,291.077911,270.300751,289.000183,285.708649,58504129
2012-12-17,289.791687,305.918701,288.010803,296.222717,292.848907,48419527
2012-12-24,298.201477,310.667786,293.947113,306.759705,303.265930,35711530
2012-12-31,306.215546,318.335541,306.215546,312.052917,308.498840,29616335
2013-01-07,314.427460,333.819458,309.282623,326.893738,323.170624,49047312
2013-01-14,327.734711,330.109253,315.120026,325.063385,321.361145,41820208
2013-01-21,325.607544,326.497986,278.809479,297.805725,294.413910,69739660
2013-01-28,297.805725,312.547607,265.403290,278.661072,275.487305,56496115
